Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
12003,4001.175267,4079.952429,4124.641428,4279.518991,4373.20948,4490.579491,4673.511478,4861.861378,4859.047062,5120.688331,5261.21976,5333.64908,5440.027691,5480.318621,5352.941743,5236.800837,5283.622234,5330.131125,5370.327986
12004,5913.462801,6161.711201,6286.772404,6583.786685,6774.582109,7064.366964,7378.066918,7679.01909,7688.553153,8264.56585,8539.979206,8701.554499,8880.856202,8927.63151,8749.430468,8559.433454,8644.89056,8723.493928,8791.468916
12005,1874.516581,1925.203067,2005.787872,2092.765038,2142.55465,2214.076691,2307.419681,2390.908491,2390.75744,2529.996834,2624.350475,2669.776439,2724.141279,2746.841794,2684.744374,2626.739416,2652.908678,2676.439148,2696.76411
13001,31529.81724,32087.33747,32340.18511,33548.85302,34263.12523,35166.60934,36587.75351,37827.51762,37799.75157,39702.6432,40768.90129,41296.28261,42120.82567,42266.72778,41277.52757,40381.57899,40747.49362,41103.6648,41414.85931
13002,6868.534905,6989.673954,7044.317431,7307.308375,7462.866088,7659.646643,7968.217097,8237.305407,8230.841656,8641.209414,8869.860587,8983.615294,9163.32473,9195.358513,8981.60956,8788.336227,8865.446807,8943.733466,9011.972139
13003,20502.79176,20872.2841,21046.30006,21833.84014,22298.9897,22892.77611,23817.96102,24653.23287,24639.1341,25894.64112,26612.65428,26967.34778,27506.72075,27594.4009,26955.6239,26374.71773,26610.30542,26844.23284,27048.03611
13004,10737.97155,10928.25833,11017.19365,11429.27414,11673.21489,11983.80616,12466.48606,12890.67438,12880.79063,13532.8775,13892.2024,14077.68443,14358.66261,14408.19307,14069.78059,13764.12332,13885.84824,14007.37211,14116.21138
13005,4057.1881,4130.469921,4166.251779,4323.689738,4437.836625,4567.631382,4758.42711,4920.840495,4926.305904,5186.087789,5470.388107,5572.3406,5687.101739,5707.171736,5574.71136,5453.604224,5502.272516,5550.83875,5593.185989
13006,13131.11349,13388.19692,13581.54153,14119.21455,15022.82408,15428.62488,16057.32244,16630.38615,16630.25677,17492.36253,17970.90576,18215.20798,18586.73154,18652.36585,18221.7308,17825.8751,17989.19303,18147.84698,18284.98672
13007,15270.41638,15583.85816,15804.75597,16577.14975,17031.0324,17626.17891,18425.9753,19129.98592,19184.33318,20479.41132,21105.09276,21612.99204,22063.86626,22208.98094,21752.1627,21279.61087,21479.46192,21671.90797,21843.65942
13008,3309.371951,3370.125205,3410.781669,3542.244675,3625.894492,3724.559323,3877.555266,4037.78757,4036.461214,4272.401734,4400.835713,4469.323232,4559.657086,4576.735363,4472.060471,4374.907744,4414.003846,4453.005244,4487.133693
13009,3030.589095,3096.412094,3149.712292,3325.704496,3412.528902,3534.013664,3682.372738,3820.114986,3819.366008,4041.741365,4174.910935,4241.472885,4332.324735,4345.29146,4246.812622,4154.553279,4193.727539,4234.933521,4269.096532
13010,10877.82199,11089.68172,11199.43675,11634.26439,11887.29917,12220.5864,12724.38429,13169.41158,13164.31792,13877.43203,14261.3473,14458.69526,14747.91102,14796.74636,14484.33566,14169.67247,14296.1466,14422.62987,14532.9067
13011,6055.82498,6163.38167,6213.804811,6446.422848,6584.216217,6758.815462,7030.977361,7269.548956,7263.79069,7633.700823,7837.297221,7941.654012,8100.086599,8129.03249,7938.8968,7766.429184,7834.800983,7903.239512,7967.755049
13012,17778.4873,18093.96894,18235.63016,18921.19481,19329.26502,19847.99806,20647.35124,21350.97784,21333.69294,22412.77952,23019.63073,23327.73171,23793.71168,23882.68104,23328.09462,22821.30621,23037.11037,23240.3254,23422.41021
13013,21463.80854,21847.21921,22045.89041,22877.94766,23381.85765,24019.96677,24997.76801,25857.45765,25842.8233,27171.37813,27924.07954,28329.58966,28900.78632,28999.5713,28337.18666,27721.57885,27975.38413,28221.20569,28435.73636
14001,9862.878553,10057.31762,10148.33315,10564.74839,10791.45347,11104.29337,11608.54548,12022.12457,12057.72419,12736.81165,13091.96102,13300.76843,13567.8546,13703.57692,13625.64783,13329.40974,13507.46075,13721.98502,13877.84007
14002,3160.798998,3222.016867,3254.313762,3382.275311,3454.613473,3545.883201,3689.177539,3816.426065,3816.730171,4020.388681,4133.999607,4190.919064,4286.024362,4309.758967,4244.171578,4151.965477,4260.574483,4327.195467,4367.000365
14003,7319.053419,7468.734373,7538.925744,7826.649538,7992.869715,8202.88122,8534.783365,8824.605038,8833.198426,9292.806373,9551.393627,9682.638852,9877.745488,9912.975093,9694.395827,9483.776567,9647.575878,9781.665919,9920.421732
14004,5175.425083,5273.63985,5330.474874,5531.200331,5650.582044,5813.148929,6068.880788,6291.577679,6294.591339,6645.033762,6829.696851,6922.318917,7060.349078,7084.444259,6922.858799,6772.463992,6840.85096,6913.278963,6967.272845
15001,15713.67373,16000.75206,16148.18399,16761.24876,17121.13926,17583.43299,18304.337,19038.22165,19027.5609,20057.20879,20610.09851,20892.46194,21315.38624,21417.01089,20936.82047,20481.94293,20695.18893,20877.41446,21040.08277
15002,10965.87693,11174.4009,11289.74212,11731.20415,11983.75485,12308.62658,12825.49438,13291.33588,13284.00263,14064.5086,14464.75541,14684.63874,14980.176,15056.33877,14795.31771,14473.89868,14666.77235,14798.97015,14914.29697
15003,8992.860107,9156.251252,9235.025519,9588.061407,9795.183107,10057.48985,10462.567,10818.59828,10809.88506,11380.68339,11683.54734,11859.93135,12102.51522,12149.52104,11872.13165,11614.19795,11724.15752,11829.81261,11919.10292
